Title,Author(s),Year published,Type,Notes
"The Nickel-Plated-Feet Gang During the Occupation
(Les Pieds nickelés dans le maquis)",Successors of Louis Forton,1879–1934,Comic book,Banned in Yugoslavia by court order in 1945.
About a Silence in Literature,Živorad Stojković,,Essay,Banned in Yugoslavia by court order in 1951.[citation needed]
The New Class: An Analysis of the Communist System (1957),Milovan Đilas,1957,,"Banned in Yugoslavia by court order in 1957; author sentenced for enemy propaganda to seven years in prison, prolonged to 13 years in 1962."
Curved River,Živojin Pavlović,1963,Story collection,In 1963 in Yugoslavia withdrawn by the publisher (Nolit) at request of SDB officials.
Dictionary of Modern Serbo-Croatian Language,Miloš Moskovljević,,Dictionary,"Banned in Yugoslavia by court order in 1966, at request of Mirko Tepavac, because ""some definitions can cause disturbance among citizens""."
A Message to Man and Humanity,Aleksandar Cvetković,,,"Banned in Yugoslavia by court order in 1967 for ""false and wicked claims, and enemy propaganda that supports pro-Chinese politics""."
On Fierce Wound – Fierce Herb,Ratko Zakić,,,"Withdrawn from sales and destroyed after the decision of the Municipal Committee of the League of Communists of Kraljevo in Kraljevo, Yugoslavia in 1967."
Thoughts of a Corpse,Prvoslav Vujčić,,Poems,Banned in Yugoslavia by court order in 1983; republished in 2004.
Storytellers II,Boško Novaković,,Short stories,Withdrawn from print in Yugoslavia in 1964 because it contained stories by Dragiša Vasić.
Castration of the Wind,Prvoslav Vujčić,,Poems,Written in Tuzla prison in 1984. Banned in Yugoslavia by court order in 1984; republished in 2005.
