Title,Author(s),Year published,Type,Notes
Droll Stories,Honoré de Balzac,1837,Short stories,Banned for obscenity in 1914.
Lady Chatterley's Lover,D. H. Lawrence,1928,Novel,The unexpurgated United States edition was allowed to be imported by McClelland & Stewart in 1959. The book's status as an obscene publication was not resolved until a ruling by the Supreme Court of Canada in 1962.
By Grand Central Station I Sat Down and Wept,Elizabeth Smart,1945,Autobiographical prose poetry,Banned in Canada from 1945 to 1975 under the influence of Smart's family's political power due to its sexual documentation of Smart's affair with a married man.
The Naked and the Dead (1948),Norman Mailer,1948,Novel,"Banned in Canada in 1949 for ""obscenity""."
Lolita (1955),Vladimir Nabokov,1955,Novel,Banned in Canada in 1956. The ban was not enforced on imports of the Putnam edition from the United States and was lifted in late 1958.
Peyton Place (1956),Grace Metalious,1956,Novel,Banned in Canada from 1956 to 1958.
How to Kill (series),John Minnery,1973,Instructional,Banned in Canada in 1977.
The Hoax of the Twentieth Century,Arthur Butz,1976,Non-fiction,"Classified as ""hate literature"" in Canada with the Royal Canadian Mounted Police destroying copies as recently as 1995."
The Turner Diaries,William Luther Pierce,1978,Novel,"Classified as ""hate literature"" in Canada and subsequently banned from import into the country."
Lethal Marriage,Nick Pron,1995,True crime,"Written by a newspaper reporter about the Paul Bernardo and Karla Homolka case, this book allegedly contains inaccuracies, additionally, complaints were received by the St. Catharines library board from the mother of a victim that led to the book being removed from all public library branches in the city. As recently as 1999 this book was still unavailable to public library patrons in St. Catherines."
