Title,Author(s),Year published,Type,Notes
Christianity not Mysterious,John Toland,1696,Non-fiction,Banned by the Irish Parliament for contradicting the teaching of the Anglican Church. Copies of the book were burnt by the public hangman in Dublin.
Droll Stories,Honoré de Balzac,1837,Short stories,Banned for obscenity in 1953. The ban was lifted in 1967.
Married Love,Marie Stopes,1918,Non-fiction,Banned by the Irish Censorship Board for discussing birth control.
And Quiet Flows the Don,Mikhail Sholokhov,1928–1940,Novel Sequence,"The English translations of Sholokhov's work were banned for ""indecency""."
Elmer Gantry,Sinclair Lewis,1927,Novel,Elmer Gantry was banned in the Irish Free State.
The House of Gold,Liam O'Flaherty,1929,Novel,"The first book to be banned by the Irish Free State for alleged ""indecency"". Republished in 2013."
A Farewell to Arms,Ernest Hemingway,1929,Novel,Suppressed in the Irish Free State.
Marriage and Morals,Bertrand Russell,1929,Non-fiction,"Suppressed in the Irish Free State for discussing sex education, birth control and open marriages."
Commonsense and the Child,Ethel Mannin,1931,Non-fiction,Banned in the Irish Free State for advocating sex education for adolescents.
The Bulpington of Blup,H. G. Wells,1932,Novel,Banned in the Irish Free State.
Brave New World,Aldous Huxley,1932,Novel,"Banned in Ireland in 1932, allegedly because of references of sexual promiscuity."
"The Work, Wealth and Happiness of Mankind",H. G. Wells,1932,Non-fiction,Banned in the Irish Free State.
Men of Good Will,Jules Romains,1932–1946,Novel Sequence,The English translations of Romains' novel sequence were banned in the Irish Free State.
The Martyr,Liam O'Flaherty,1933,Novel,Banned in the Irish Free State.
The Laws of Life,Halliday Sutherland,1935,Non-fiction,Banned in the Irish Free State for discussing sex education and Calendar-based contraceptive methods – even though The Laws of Life had been granted a Cum permissu superiorum endorsement by the Roman Catholic Diocese of Westminster.
Honourable Estate,Vera Brittain,1936,Novel,Banned in the Irish Free State.
I Knock at the Door,Seán O'Casey,1939,Autobiography,Banned in Ireland.
Dutch Interior,Frank O'Connor,1940,Novel,Banned in Ireland.
The Tailor and Ansty,Eric Cross,1942,Non-fiction,Banned by the Irish censors for discussing sexuality in rural Ireland.
Borstal Boy,Brendan Behan,1958,Autobiographical novel,"Banned in Ireland in 1958. The Irish Censorship of Publications Board was not obliged to reveal its reason but it is believed that it was rejected for its critique of Irish republicanism and the Catholic Church, and its depiction of adolescent sexuality."
The Country Girls,Edna O'Brien,1960,Novel,Banned by Ireland's censorship board in 1960 for its explicit sexual content.
The Lonely Girl (1962),Edna O'Brien,1962,Novel,"Banned in Ireland in 1962 after Archbishop John Charles McQuaid complained personally to Justice Minister Charles Haughey that it ""was particularly bad""."
The Dark,John McGahern,1965,Novel,Banned in Ireland for obscenity.
My Secret Garden,Nancy Friday,1973,Non-fiction,Banned in Ireland for its sexual content.
