Title,Author(s),Year published,Type,Notes
Ivanhoe,Walter Scott,1819,Novel,Prohibited by Nazi Germany for featuring Jewish characters.
Oliver Twist,Charles Dickens,1839,Novel,Prohibited by Nazi Germany for featuring Jewish characters.
The Communist Manifesto,Karl Marx and Friedrich Engels,1848,Political Manifesto,"Prohibited by several countries, Nazi Germany."
Works,Stefan Zweig,1900–1933,"Plays, Novels, Non-fiction",All of Zweig's books published up to 1933 were banned by the Nazis in that same year.
Works,Sigmund Freud,1901–1933,Non-fiction,All of Freud's books published up to 1933 were banned by the Nazis in that same year.
The Jungle (1906),Upton Sinclair,1906,Novel,"In 1956, it was banned in East Germany for its incompatibility with Communism."
The Iron Heel,Jack London,1908,Novel,"Banned by the Nazis along with two other London novels, Martin Eden and The Jacket."
Works,Bertolt Brecht,1918–1933,"Plays, Novels, Poetry, Non-fiction",All of Brecht's books published up to 1933 were banned by the Nazis in that same year.
The Outline of History,H. G. Wells,1920,Non-fiction,Wells' book was banned in Nazi Germany.
Berlin Garden of Erotic Delights,"Erwin von Busse under the pseudonym ""Granand""",1920,Short story collection,"Banned for ""indecency"" by courts in Berlin and Leipzig"
Mein Kampf (1925),Adolf Hitler,1925,Political manifesto,"In Germany, the copyright of the book was held by the State Government of Bavaria, and the Bavarian authorities prevented any reprinting from 1945 onward. This did not affect existing copies, which were available as vintage books. In 2016, following the expiration of the copyright, Mein Kampf was republished in Germany for the first time since 1945 as a commented edition by the Institut für Zeitgeschichte."
The World of William Clissold,H. G. Wells,1926,Novel,"Banned in Nazi Germany in 1936. A further note to the banning order added that ""all other works by the author"" were to be suppressed."
All Quiet on the Western Front,Erich Maria Remarque,1929,Anti-war novel,Banned in Nazi Germany for being demoralizing and insulting to the Wehrmacht.
Die Gesteinigten,Friedrich Forster,1933,Drama,Banned and printed copies pulped
The Story of Ferdinand,Munro Leaf,1936,Children's fiction,Banned in Nazi Germany.
Truth for Germany—The Question of Guilt for the Second World War,Udo Walendy,1968,Historical work,"In 1979 this book was listed by Germany's Federal Department for Media Harmful to Young Persons as material that could not be publicly advertised or given to young readers, due to the version it presented of the events that led to World War II. This restriction was lifted in 1994, after a long legal battle."
